student_id,gender,study_hours_per_week,attendance_percent,previous_grade,sleep_hours,extracurricular_hours,parental_support,internet_access,part_time_job,final_score
S1227,Male,8.5,84.2,68.2,8.1,5.9,High,Yes,Yes,75.5
S1228,Female,10.7,73.5,81.6,7.5,1.2,Medium,Yes,No,61.5
S1229,Female,19.1,70.7,96.5,9.4,1.2,High,Yes,Yes,66.9
S1230,Male,10.6,82.4,63.3,,1.5,Medium,Yes,Yes,61.1
S1231,Female,16.3,68.3,53.6,6.5,5.0,Medium,Yes,Yes,62.5
S1232,Male,15.3,84.9,68.9,7.0,4.3,High,Yes,No,63.6
S1233,Male,11.1,59.6,100.0,6.6,6.8,High,Yes,No,82.2
S1234,Female,27.9,92.3,60.4,8.0,7.4,Medium,No,No,72.6
S1235,Male,18.8,85.7,89.7,4.9,0.7,High,Yes,Yes,77.1
S1236,Male,2.8,83.1,90.1,5.6,4.8,Medium,Yes,Yes,70.9
S1237,Female,16.1,91.8,63.4,5.6,7.2,High,Yes,No,77.5
S1238,Male,11.0,100.0,76.8,8.2,2.5,Low,Yes,No,66.2
S1239,Male,20.1,92.2,89.5,9.2,3.3,Medium,Yes,No,84.7
S1240,Male,10.2,57.9,65.5,6.9,2.9,Medium,Yes,Yes,53.3
S1241,Male,14.3,64.6,67.6,6.8,3.0,Medium,Yes,No,65.2
S1242,Male,18.0,72.5,63.0,7.1,6.0,Low,Yes,No,64.9
S1243,Male,20.2,80.3,57.8,8.5,10.2,High,Yes,No,66.3
S1244,Male,7.8,86.2,62.2,5.8,8.3,Low,Yes,No,62.2
S1245,Female,13.0,71.3,55.3,7.3,2.2,Medium,Yes,Yes,53.3
S1246,Female,12.2,82.2,70.4,8.3,4.1,Low,No,No,59.0
S1247,Male,11.1,70.9,60.8,7.7,1.7,Medium,Yes,No,59.0
S1248,Male,25.6,72.7,72.8,7.2,1.8,Medium,Yes,No,66.9
S1249,Female,17.4,63.1,,8.3,3.2,Medium,Yes,No,66.2
S1250,Female,7.4,68.9,74.0,3.5,1.8,Low,Yes,No,41.5
S1251,Female,20.5,63.8,80.0,7.9,2.0,Low,No,No,46.3
S1252,Female,27.7,68.3,46.1,6.1,4.0,Medium,Yes,Yes,44.0
S1253,Female,21.2,92.6,74.5,4.6,4.8,High,No,No,77.7
S1254,Male,5.9,68.6,84.7,7.7,4.7,High,Yes,No,63.3
S1255,Female,12.1,100.0,55.5,8.8,4.7,Low,Yes,No,64.3
S1256,Female,22.6,85.9,90.1,6.8,1.1,Medium,Yes,No,72.1
S1257,Female,10.8,82.2,75.0,,1.7,Low,Yes,Yes,52.4
S1258,Male,17.7,69.7,61.5,9.1,3.4,Low,No,No,59.9
S1259,Male,19.6,88.4,69.3,8.7,6.9,Medium,Yes,No,71.1
S1260,Male,9.4,73.1,76.7,9.1,13.9,Medium,Yes,Yes,64.4
S1261,Male,14.6,81.5,70.9,8.0,4.2,Low,Yes,No,63.0
S1262,Male,1.0,100.0,76.5,7.1,5.6,Low,Yes,Yes,64.6
S1263,Male,8.9,78.8,59.0,4.9,0.9,Low,Yes,No,45.0
S1264,Female,13.5,93.8,72.0,6.7,5.5,High,Yes,No,79.3
S1265,Male,7.5,71.6,53.0,5.9,11.6,High,Yes,No,70.8
S1266,Male,24.8,79.6,68.7,9.8,1.7,Low,Yes,No,56.6
S1267,Female,6.4,100.0,59.2,6.8,2.1,Low,No,No,57.7
S1268,Male,12.4,72.5,61.2,7.2,6.1,High,Yes,No,63.6
S1269,Female,15.8,100.0,84.8,7.7,3.4,High,Yes,No,84.5
S1270,Female,23.6,88.5,83.1,7.1,0.4,Medium,Yes,No,65.0
S1271,Male,6.4,73.3,77.3,9.2,2.2,Low,Yes,No,68.2
S1272,Female,22.0,87.6,56.9,6.2,8.6,Low,Yes,Yes,49.4
S1273,Female,15.1,91.7,66.2,7.3,2.7,Medium,Yes,No,65.7
S1274,Female,9.1,87.5,84.6,6.0,2.7,Medium,Yes,Yes,66.5
S1275,Female,17.8,61.2,71.7,5.3,5.8,Low,No,No,47.1
S1276,Male,16.2,71.3,97.8,6.2,4.3,Medium,Yes,No,63.6
S1277,Female,11.4,,74.7,7.0,2.5,Low,Yes,No,59.5
S1278,Male,15.4,79.1,72.3,6.4,2.0,High,Yes,No,69.1
S1279,Female,12.7,87.4,66.3,6.1,18.2,Medium,Yes,No,69.9
S1280,Female,15.7,82.1,71.6,5.2,7.7,Low,Yes,No,65.5
S1281,Female,19.0,64.0,68.2,6.9,4.7,Medium,No,Yes,52.7
S1282,Male,24.5,84.6,78.5,5.0,5.0,Medium,No,Yes,65.5
S1283,Male,7.6,87.3,81.5,8.0,3.0,High,No,Yes,64.0
S1284,Male,27.8,86.7,60.6,7.1,4.3,Medium,No,No,61.0
S1285,Female,3.3,93.0,,5.1,2.8,Medium,Yes,Yes,53.1
S1286,Female,14.1,90.0,48.0,6.6,1.6,High,Yes,No,62.5
S1287,Female,18.5,85.5,76.1,6.0,4.4,Medium,Yes,No,65.4
S1288,Female,16.7,79.2,56.8,7.4,2.6,High,Yes,Yes,70.7
S1289,Male,11.3,60.1,44.2,8.7,4.5,Medium,Yes,No,51.8
S1290,Female,13.8,85.2,74.7,4.6,5.2,Medium,Yes,No,60.7
S1291,Male,12.0,82.5,99.9,7.1,4.7,Low,Yes,Yes,64.5
S1292,Female,11.5,83.3,69.9,6.8,1.5,Medium,Yes,No,63.9
S1293,Male,20.1,,80.1,7.9,2.4,High,Yes,No,62.8
S1294,Male,17.1,67.0,71.0,7.3,2.6,High,Yes,No,64.8
S1295,Female,10.8,92.6,68.8,6.0,6.5,Low,Yes,No,59.5
S1296,Female,20.4,79.5,81.0,6.6,6.3,Low,Yes,No,63.6
S1297,Male,16.8,88.2,66.5,6.0,1.8,High,Yes,No,74.2
S1298,Female,19.9,80.3,73.2,8.4,1.0,High,Yes,Yes,70.7
S1299,Female,18.8,80.4,73.9,7.0,14.3,Low,Yes,No,73.7
S1300,Male,10.0,91.3,62.0,9.5,4.6,Medium,Yes,No,67.6
S1301,Male,11.6,73.8,81.9,6.9,0.9,Medium,Yes,Yes,71.0
S1302,Male,19.5,81.2,67.9,6.1,2.1,High,Yes,No,66.6
S1303,Male,18.7,74.5,60.9,5.0,6.7,Low,Yes,No,51.2
S1304,Female,14.9,74.8,76.4,4.7,12.2,Low,Yes,No,63.6
S1305,Male,15.7,76.3,59.2,4.9,10.9,High,Yes,No,74.6
S1306,Male,22.7,,70.3,7.3,4.4,Low,Yes,No,55.6
S1307,Male,11.5,74.3,69.9,7.7,3.3,Medium,Yes,No,61.2
S1308,Female,18.3,95.1,83.0,4.9,1.3,Medium,Yes,No,66.4
S1309,Male,13.8,69.3,75.7,8.2,3.6,Medium,Yes,No,64.7
S1310,Female,13.7,77.8,69.7,6.4,1.5,Medium,Yes,No,61.9
S1311,Male,21.6,74.7,79.8,7.2,2.4,Medium,Yes,No,75.6
S1312,Male,20.0,,86.7,9.1,6.1,Low,Yes,No,73.6
S1313,Female,19.9,82.4,76.7,8.2,2.8,Medium,Yes,No,78.1
S1314,Male,22.8,92.4,70.1,6.7,2.6,High,Yes,No,73.4
S1315,Male,15.1,62.2,54.3,5.8,3.2,High,Yes,No,64.3
S1316,Female,19.1,83.2,57.2,4.2,15.7,Low,Yes,Yes,58.6
S1317,Male,13.1,90.7,66.3,6.1,1.2,Low,Yes,No,69.5
S1318,Male,16.9,81.0,62.7,6.7,4.1,Medium,Yes,No,54.7
S1319,Male,14.2,92.8,67.8,5.7,10.2,Medium,Yes,Yes,58.7
S1320,Male,15.6,73.8,70.7,6.8,3.2,Medium,Yes,No,73.7
S1321,Female,18.6,96.9,76.4,7.1,7.6,Medium,Yes,No,69.8
S1322,Male,10.1,100.0,69.2,6.7,1.0,Low,No,No,55.3
S1323,Female,27.6,75.6,75.8,6.2,2.8,Low,Yes,Yes,54.6
S1324,Male,9.0,74.7,70.8,7.2,1.7,Medium,Yes,No,67.5
S1325,Female,7.7,97.4,46.3,7.6,3.2,Medium,Yes,No,54.4
S1326,Male,21.9,99.0,58.7,5.6,3.2,Low,Yes,Yes,60.2
S1327,Female,19.7,73.7,68.3,8.8,3.5,Medium,Yes,No,64.4
S1328,Male,18.7,75.0,55.5,6.9,6.0,Medium,Yes,No,67.8
S1329,Female,18.8,76.6,77.2,7.0,0.2,High,Yes,Yes,64.0
S1330,Female,14.9,63.9,88.4,7.9,2.0,High,No,No,69.3
S1331,Male,9.6,69.0,84.6,7.3,3.9,Medium,Yes,No,56.5
S1332,Female,15.5,68.0,67.4,8.2,0.5,Low,Yes,No,69.4
S1333,Male,10.9,70.8,87.9,7.4,5.2,Medium,No,Yes,58.6
S1334,Male,20.9,79.6,71.8,6.2,2.0,Low,Yes,Yes,57.4
S1335,Male,14.1,82.8,66.0,7.5,2.9,Medium,No,Yes,68.4
S1336,Male,10.0,98.6,62.6,5.5,6.2,High,Yes,No,67.3
S1337,Male,13.1,68.0,66.4,7.1,7.8,Medium,Yes,No,71.2
S1338,Female,17.5,91.8,65.3,7.0,5.3,High,Yes,Yes,68.0
S1339,Male,11.6,77.4,72.0,6.7,1.2,Medium,Yes,Yes,62.8
S1340,Male,10.1,79.4,,6.8,5.1,Low,No,No,52.1
S1341,Male,16.5,88.1,70.0,4.6,5.4,High,Yes,No,62.2
S1342,Male,16.5,66.5,75.2,6.3,4.7,Medium,Yes,No,64.5
S1343,Male,12.0,84.6,84.3,7.1,8.7,Medium,Yes,No,74.5
