square_footage,bedrooms,bathrooms,lot_size,year_built,house_age,neighborhood_quality,distance_to_city_center,garage_spaces,has_pool,has_garden,school_rating,crime_rate,renovated,condition,property_type,price
3297,3,2.5,10445,1981,43,Low,30.72,2,1,0,6.0,0.39,1,Excellent,Single Family,341800
1991,3,1.0,8088,2013,11,Medium,7.1,0,0,1,3.0,0.75,1,Poor,Single Family,219900
1260,1,1.0,2599,2020,4,High,6.51,1,0,0,3.0,1.43,0,Fair,Single Family,191100
2576,1,1.0,8575,1991,33,Premium,8.53,2,0,1,2.0,1.34,0,Excellent,Multi-Family,660700
1145,5,3.0,15687,1997,27,Medium,5.5,2,0,1,2.0,1.49,0,Good,Multi-Family,196300
2146,3,2.5,9725,2023,1,Medium,0.5,2,0,1,5.0,4.73,1,Fair,Multi-Family,348200
628,4,3.0,7799,1979,45,Medium,7.58,2,0,0,8.0,1.18,1,Fair,Condo,136800
1070,3,3.5,11764,1970,54,Premium,10.08,1,0,1,6.0,2.09,0,Excellent,Condo,368400
2138,5,4.5,8737,2009,15,High,4.31,0,1,0,9.0,2.93,0,Excellent,Condo,559600
2517,3,2.0,8733,1962,62,Medium,11.33,2,0,1,5.0,0.79,1,Fair,Single Family,278800
2120,3,2.0,4179,1950,74,High,2.06,2,0,0,10.0,3.8,1,Good,Condo,385800
1919,5,3.5,8818,2014,10,High,2.0,1,0,1,4.0,2.38,0,Excellent,Single Family,497700
1789,5,3.5,11624,1982,42,Low,1.41,2,0,1,9.0,1.78,0,Excellent,Condo,291800
965,2,1.5,5074,1987,37,Medium,3.72,1,0,1,10.0,4.98,1,Excellent,Single Family,216000
1496,5,3.5,12986,1974,50,Premium,15.02,1,0,1,5.0,0.84,1,Good,Single Family,422000
1678,3,1.5,7679,1975,49,High,14.08,2,1,1,1.0,6.44,1,Excellent,Townhouse,358500
2740,3,2.5,4893,2008,16,Medium,3.86,2,1,1,5.0,2.47,0,Good,Multi-Family,376700
2241,2,2.0,11492,1982,42,Medium,7.12,2,0,1,5.0,2.82,0,Fair,Single Family,263300
766,2,1.0,6996,1990,34,Medium,10.21,0,0,1,5.0,6.24,0,Good,Single Family,116100
2227,4,3.5,10658,1979,45,Medium,2.21,1,0,0,2.0,5.1,1,Good,Multi-Family,322400
1730,3,2.0,6979,2006,18,High,1.47,2,0,1,6.0,2.76,1,Excellent,Condo,456100
1526,3,2.5,7791,1998,26,Medium,28.63,1,0,0,5.0,4.2,1,Fair,Single Family,172000
2428,4,3.5,9727,1997,27,High,7.69,2,0,0,2.0,1.7,0,Excellent,Condo,531300
2722,4,3.0,9018,2021,3,Premium,31.88,3,0,0,10.0,2.38,1,Fair,Single Family,517000
2652,2,2.0,1016,1998,26,Low,3.3,2,0,0,8.0,0.19,0,Good,Single Family,281500
1413,4,2.5,4076,1996,28,Medium,9.71,1,0,1,6.0,0.28,0,Poor,Townhouse,168200
1784,2,1.5,11253,2005,19,Medium,2.01,2,0,1,10.0,5.31,0,Good,Single Family,324400
2232,4,3.0,7538,2014,10,High,2.42,1,0,1,3.0,0.18,1,Good,Single Family,2846400
2683,4,2.5,6167,1961,63,Medium,5.74,1,1,1,9.0,0.56,1,Good,Single Family,374100
1665,6,4.5,3245,2018,6,High,3.08,0,1,1,4.0,4.77,0,Fair,Single Family,316700
1870,2,1.0,4221,1955,69,Premium,1.47,1,0,1,3.0,0.0,0,Good,Single Family,409900
1226,2,1.0,1000,2014,10,Medium,2.44,3,0,0,7.0,1.0,1,Excellent,Single Family,240200
1163,3,2.0,7646,1974,50,Premium,0.5,1,0,1,8.0,2.63,0,Good,Single Family,352200
2569,3,2.0,5905,1950,74,Premium,9.75,1,0,1,7.0,2.71,1,Fair,Single Family,510200
2949,3,,4617,1981,43,Low,5.42,3,0,1,1.0,4.5,0,Fair,Single Family,239500
1950,5,3.5,7762,1952,72,Medium,0.79,0,0,1,1.0,2.12,0,Excellent,Single Family,362500
2702,3,2.5,9274,1998,26,Premium,1.51,2,0,1,,2.14,0,Good,Condo,697000
2253,3,3.0,15326,1968,56,Premium,0.87,1,0,0,8.0,3.88,0,Poor,Condo,379100
1548,4,2.5,2708,2009,15,Low,7.59,0,0,0,10.0,2.07,0,Excellent,Single Family,194800
2253,3,1.5,12058,1978,46,Low,0.79,3,1,1,3.0,2.81,0,Good,Condo,280500
3077,4,2.5,11406,1999,25,Low,11.23,0,0,1,8.0,6.84,0,Fair,Multi-Family,282400
1975,2,1.0,5273,1951,73,Premium,0.5,2,0,1,3.0,1.54,0,Excellent,Multi-Family,542500
3095,3,2.0,8711,2022,2,Low,2.29,1,0,0,4.0,1.46,1,Good,Single Family,333000
500,1,1.0,6398,2005,19,Medium,17.71,0,0,0,10.0,0.01,0,Good,Townhouse,96200
2575,2,1.0,8650,1966,58,High,10.14,0,0,1,7.0,2.85,0,Good,Single Family,422400
2061,5,3.5,13282,2009,15,Low,0.61,0,0,1,3.0,0.09,1,Excellent,Single Family,323300
1791,2,1.5,10120,1985,39,High,13.77,0,0,1,4.0,2.1,0,Fair,Single Family,285300
2064,4,3.5,9780,2010,14,Medium,5.43,2,0,0,8.0,4.89,0,Fair,Single Family,275600
609,3,2.0,6494,1966,58,Premium,15.01,1,0,0,4.0,2.39,1,Fair,Single Family,164700
1846,3,2.0,2806,1998,26,Medium,7.35,1,0,1,9.0,0.94,1,Excellent,Condo,355800
2250,5,3.0,7270,2009,15,High,9.16,1,0,0,4.0,4.63,1,Good,Condo,431400
3035,1,1.0,12223,1969,55,High,40.29,3,0,1,4.0,0.94,0,Good,Single Family,395900
1637,4,2.5,2655,1999,25,Medium,2.12,3,0,1,5.0,3.96,1,Fair,Single Family,253000
1434,6,5.0,4307,1952,72,Low,7.82,2,0,0,1.0,2.83,0,Good,Single Family,158300
1649,4,2.0,8442,1992,32,Medium,4.93,2,0,1,7.0,0.56,0,Excellent,Single Family,307600
2641,5,3.5,4554,2006,18,Medium,0.5,1,0,1,9.0,7.07,1,Good,Multi-Family,403500
2230,2,1.5,5226,1999,25,High,0.5,1,1,0,9.0,0.67,0,Excellent,Townhouse,514900
1629,3,2.5,6517,2017,7,High,1.02,2,1,0,1.0,13.69,1,Good,Multi-Family,300100
2359,3,4.0,3220,1999,25,Medium,8.38,2,0,1,6.0,0.02,0,Excellent,Condo,421800
2068,4,3.0,4591,1986,38,High,6.7,1,1,1,3.0,0.92,0,Poor,Single Family,243800
2678,6,4.0,10462,1995,29,High,6.45,1,0,1,4.0,0.67,1,Good,Single Family,569000
1509,3,2.0,3424,1991,33,High,0.5,3,1,1,8.0,0.04,0,Excellent,Single Family,414700
1771,4,2.0,2407,1964,60,Medium,5.07,2,0,1,4.0,3.95,1,Excellent,Single Family,303200
1726,2,1.5,5795,1982,42,Medium,20.68,1,0,1,8.0,3.55,1,Fair,Townhouse,169600
976,4,2.5,10562,1960,64,Medium,4.05,2,0,1,4.0,4.72,1,Good,Single Family,191700
2207,3,3.0,7311,1969,55,Medium,7.84,1,0,1,9.0,0.89,0,Fair,Single Family,272500
2183,6,4.0,6374,1973,51,Medium,12.11,0,0,0,6.0,1.76,0,Excellent,Townhouse,370400
2004,4,3.0,8155,2013,11,Medium,12.26,1,1,1,1.0,3.23,1,Good,Townhouse,286000
1836,3,2.0,1890,2014,10,Low,5.86,1,0,1,10.0,1.74,1,Good,Single Family,227600
1009,2,2.5,9731,2022,2,High,15.61,0,0,1,2.0,3.59,0,Fair,Condo,159900
1706,2,1.5,9342,1966,58,Medium,3.97,2,0,1,7.0,3.02,1,Excellent,Single Family,314800
1760,3,3.5,6567,2010,14,Low,17.56,1,0,0,10.0,0.37,0,Good,Single Family,202500
1438,3,2.5,11521,1964,60,Medium,2.2,2,0,1,7.0,4.56,1,Fair,Single Family,245100
1887,5,4.0,4054,2000,24,Medium,2.63,0,0,0,3.0,3.83,0,Good,Single Family,299600
2283,4,3.0,11948,1976,48,High,0.5,1,0,1,1.0,3.2,0,Fair,Condo,385400
3320,4,3.0,8541,2023,1,Medium,12.7,2,0,1,8.0,0.51,0,Good,Single Family,450400
2122,2,1.0,6822,2010,14,Medium,4.32,2,0,1,10.0,0.94,0,Excellent,Condo,388900
2180,5,3.5,7930,2007,17,Medium,2.08,3,0,1,10.0,1.5,1,Excellent,Townhouse,479600
1948,4,3.5,7625,1980,44,Medium,2.11,3,0,1,7.0,0.99,0,Good,Single Family,307300
657,2,1.5,12271,1961,63,Low,18.53,1,1,0,10.0,0.78,1,Excellent,Condo,146100
1981,4,2.0,4232,1995,29,Premium,14.36,1,0,1,8.0,4.91,0,Good,Single Family,439000
2042,4,3.0,5331,1980,44,Medium,6.45,2,0,1,1.0,3.05,0,Fair,Single Family,256700
3724,2,2.5,11627,1981,43,Medium,7.66,3,0,1,3.0,2.5,0,Excellent,Condo,579100
1865,3,3.0,5916,1981,43,Low,5.14,2,0,0,2.0,0.77,0,Good,Condo,185600
2211,3,2.0,11152,2002,22,Medium,3.98,2,0,1,1.0,7.51,0,Good,Single Family,279600
1976,2,2.0,13948,2010,14,High,19.77,2,0,0,5.0,0.64,0,Excellent,Multi-Family,407400
1182,5,3.5,6594,1995,29,High,1.07,1,0,1,3.0,4.75,1,Fair,Single Family,210400
2800,5,2.5,10385,2023,1,High,4.34,2,0,0,10.0,10.2,0,Excellent,Multi-Family,651700
2526,4,2.5,3962,1956,68,Low,3.38,2,0,1,8.0,3.9,0,Excellent,Single Family,296100
2554,3,3.0,10642,1953,71,Medium,5.52,2,0,1,6.0,14.83,1,Good,Single Family,398000
1363,3,2.0,8698,2001,23,High,4.89,0,0,0,10.0,3.16,0,Poor,Single Family,225700
2982,4,3.0,9656,1980,44,Premium,5.85,1,0,1,9.0,0.74,0,Good,Single Family,724800
1019,4,3.0,5740,1985,39,Low,1.21,0,0,1,9.0,0.68,0,Fair,Condo,156600
2411,2,,2186,2003,21,Medium,5.76,1,0,0,6.0,1.18,0,Good,Condo,334500
3533,4,4.0,9761,2003,21,Medium,2.22,3,0,1,2.0,0.02,0,Excellent,Single Family,588400
1307,5,5.0,1000,1966,58,Low,1.63,0,0,0,9.0,3.43,0,Good,Single Family,158800
1604,3,2.0,6889,1979,45,Medium,0.54,1,0,0,2.0,0.94,1,Good,Single Family,264900
2070,2,1.5,11294,1971,53,Low,11.51,1,0,0,3.0,5.07,1,Good,Single Family,180700
1648,4,2.0,8672,1992,32,High,4.46,2,0,1,6.0,1.33,0,Good,Condo,356000
915,3,3.0,14819,1976,48,Medium,7.88,2,0,1,2.0,1.96,1,Excellent,Townhouse,228200
2048,3,1.5,11588,1986,38,Low,10.4,1,0,1,,10.12,0,Good,Multi-Family,195900
1256,2,1.5,5711,1995,29,Low,9.1,1,0,1,2.0,0.83,0,Excellent,Single Family,160400
2332,3,1.5,8096,1984,40,High,5.09,1,0,0,4.0,3.83,0,Good,Single Family,418200
1356,4,2.5,7834,1953,71,Low,3.93,2,0,1,3.0,4.22,0,Good,Condo,169000
3085,4,2.5,2462,1975,49,High,3.77,1,0,0,5.0,0.75,0,Fair,Multi-Family,475500
1452,3,2.0,4709,1968,56,Medium,8.17,3,0,1,6.0,2.09,0,Good,Condo,216100
1775,5,3.5,6037,1994,30,High,5.46,1,0,0,7.0,1.29,1,Good,Single Family,397800
2569,5,3.5,1000,1975,49,Medium,15.13,0,0,0,10.0,4.43,1,Fair,Single Family,261800
1138,5,4.5,8166,1971,53,Low,16.62,2,1,1,8.0,2.92,0,Excellent,Condo,220700
2159,3,1.5,7128,2007,17,Medium,1.5,1,1,1,9.0,1.94,1,Good,Condo,356900
2915,3,2.5,2145,2012,12,Low,1.17,2,1,0,4.0,4.53,1,Excellent,Townhouse,369900
875,6,5.0,9415,1977,47,Medium,7.96,1,0,1,4.0,0.8,0,Poor,Single Family,144500
2129,4,2.5,10506,2014,10,High,2.87,2,0,0,7.0,4.2,0,Good,Multi-Family,449700
2182,1,1.0,8795,1993,31,Medium,0.5,2,0,1,10.0,6.02,0,Poor,Single Family,205100
2547,2,1.5,6866,1992,32,Low,17.56,3,0,1,10.0,6.33,0,Fair,Multi-Family,211400
1134,3,3.0,10070,1986,38,Medium,2.06,1,0,0,9.0,4.59,0,Excellent,Townhouse,250400
1076,5,4.0,10381,2015,9,High,21.19,1,0,0,2.0,1.57,0,Poor,Condo,165600
2365,4,,9076,1966,58,Premium,10.11,1,1,0,6.0,12.02,0,Good,Condo,561200
2208,3,2.5,5114,1989,35,High,11.51,3,0,0,10.0,1.43,0,Fair,Single Family,357000
2175,2,1.0,8968,1987,37,Medium,1.8,3,0,0,10.0,3.05,0,Good,Single Family,323700
2243,4,3.5,12184,2010,14,High,2.13,0,0,1,8.0,0.53,0,Excellent,Single Family,559400
1524,5,4.0,5912,1958,66,Premium,5.89,0,0,1,5.0,11.8,0,Good,Single Family,356600
2163,3,2.0,15343,2010,14,High,1.51,1,0,0,5.0,3.65,0,Good,Single Family,441000
2205,4,2.5,6160,1965,59,Medium,2.92,0,0,1,8.0,4.2,0,Good,Single Family,307500
1500,6,4.0,8113,1951,73,Medium,3.1,1,0,1,1.0,0.2,1,Excellent,Townhouse,304700
3306,3,2.5,5646,2021,3,Medium,1.39,0,0,1,6.0,4.32,0,Good,Single Family,460500
2332,4,3.5,8781,1992,32,Medium,1.84,2,1,1,10.0,4.47,0,Good,Condo,388400
1166,3,2.0,1902,1991,33,High,12.43,3,0,1,9.0,3.34,0,Good,Condo,246100
2460,4,3.5,6089,2006,18,Medium,1.46,3,0,1,6.0,1.04,1,Excellent,Single Family,480500
1318,4,1.5,4178,2016,8,Low,0.5,1,0,0,7.0,2.02,1,Good,Single Family,192300
2551,4,2.5,8474,1979,45,High,7.94,2,1,0,4.0,0.35,0,Good,Single Family,519700
2811,4,3.0,11481,1962,62,High,29.83,2,0,1,10.0,1.91,0,Good,Townhouse,455600
1426,3,1.5,10261,1968,56,Medium,3.22,0,0,0,1.0,0.84,0,Fair,Condo,169200
2674,5,3.0,1000,1956,68,High,1.01,2,0,1,9.0,1.29,0,Good,Single Family,532600
2289,4,2.5,15147,1958,66,Medium,6.76,1,1,0,6.0,0.53,1,Good,Townhouse,337500
2575,2,1.5,9033,2003,21,Premium,18.95,1,0,1,3.0,0.78,0,Good,Single Family,509300
3328,4,3.0,5282,2010,14,High,12.26,1,0,0,4.0,0.24,0,Good,Condo,561500
1828,4,1.5,8550,1951,73,Medium,7.79,0,0,1,10.0,7.57,0,Fair,Single Family,235700
1472,3,1.0,8617,1999,25,High,3.03,2,0,1,6.0,2.27,0,Excellent,Condo,383500
1377,5,3.5,5666,1980,44,Premium,6.24,1,0,0,,1.52,1,Excellent,Multi-Family,481100
1429,5,4.0,8693,1982,42,Medium,0.77,1,0,0,9.0,2.3,0,Excellent,Townhouse,310700
1946,3,1.0,5874,1960,64,Medium,9.09,0,0,1,4.0,2.97,1,Good,Single Family,254400
2239,6,4.0,6585,1982,42,High,10.33,2,1,0,5.0,7.65,0,Good,Single Family,426200
2194,2,1.0,5598,1956,68,Medium,26.83,1,0,0,5.0,0.59,0,Excellent,Townhouse,292000
2579,3,3.0,2986,1980,44,Medium,2.41,2,1,0,3.0,1.05,0,Good,Single Family,360000
2009,2,1.5,8510,1997,27,Premium,0.5,2,0,1,2.0,11.16,0,Good,Single Family,455700
3017,5,4.0,10049,1996,28,High,6.31,1,0,1,8.0,1.39,0,Excellent,Condo,662200
1815,4,,9802,2002,22,Medium,9.81,1,0,1,10.0,0.07,0,Good,Single Family,311200
3904,2,1.0,10870,1968,56,Medium,12.5,2,0,1,9.0,0.48,1,Good,Single Family,493400
2438,3,2.5,9135,1955,69,Medium,1.72,0,0,1,10.0,0.08,0,Poor,Multi-Family,208600
1400,4,3.0,6135,1998,26,Medium,2.43,0,0,1,9.0,13.79,0,Fair,Single Family,204800
1250,2,2.0,10939,2022,2,Low,5.75,2,0,1,5.0,0.98,0,Poor,Single Family,107400
2338,5,6.0,3249,1999,25,High,3.21,1,0,0,9.0,7.71,0,Excellent,Condo,580400
1844,5,2.5,4848,1961,63,Medium,15.76,1,0,0,4.0,16.48,1,Good,Townhouse,222500
2500,4,4.0,4625,1972,52,Medium,5.14,1,0,1,2.0,2.75,0,Good,Single Family,324000
2331,6,4.5,11780,2003,21,Medium,12.86,1,0,1,3.0,0.1,1,Excellent,Condo,460200
1949,3,2.5,11300,2018,6,Premium,6.95,2,1,0,1.0,0.26,0,Good,Townhouse,542200
1407,6,4.5,9706,2008,16,Medium,11.87,2,0,0,5.0,1.97,1,Good,Single Family,259800
940,4,2.5,11752,1985,39,Low,3.24,2,0,1,1.0,1.56,1,Fair,Single Family,132300
1687,4,2.5,4923,1952,72,Low,14.24,2,1,1,1.0,2.8,1,Excellent,Single Family,204800
2599,2,1.5,9220,2007,17,High,2.57,1,1,0,7.0,1.73,0,Fair,Condo,405900
2150,5,3.0,7562,2004,20,High,6.32,1,0,1,2.0,8.16,0,Fair,Townhouse,372700
1128,3,2.5,10964,2006,18,Medium,1.93,1,0,1,8.0,2.3,0,Fair,Single Family,178800
2121,2,1.5,7597,1966,58,Medium,5.16,1,0,1,6.0,3.55,0,Fair,Townhouse,270600
2270,1,1.0,6653,1988,36,Low,3.06,3,0,1,4.0,6.8,0,Fair,Townhouse,208500
1381,4,2.5,9893,2017,7,Medium,2.48,2,0,0,9.0,0.48,1,Good,Single Family,282600
2108,4,,11067,2004,20,Medium,27.29,1,0,1,10.0,0.78,0,Fair,Condo,253500
2041,4,2.5,5661,1994,30,Low,1.4,0,0,1,8.0,0.34,1,Good,Single Family,260900
1200,5,4.0,7786,1950,74,Low,12.38,0,0,1,10.0,0.45,0,Fair,Multi-Family,120400
2250,2,1.0,4295,1970,54,Low,33.16,1,0,0,3.0,2.16,1,Fair,Condo,174200
2393,4,3.5,1000,1970,54,Low,0.5,0,0,1,3.0,1.16,0,Good,Condo,251000
2758,2,2.0,8702,2001,23,High,9.61,2,0,0,4.0,1.65,0,Excellent,Condo,581400
2738,5,5.0,10131,1992,32,Low,2.33,2,0,0,9.0,12.13,1,Excellent,Condo,382300
1036,5,3.5,8917,2001,23,Medium,0.5,2,0,1,9.0,0.51,0,Excellent,Townhouse,289300
1344,4,3.5,1177,2016,8,Low,4.13,1,0,1,5.0,2.33,1,Good,Condo,183000
2361,4,3.0,6772,1993,31,Premium,21.89,1,0,1,9.0,0.31,0,Good,Multi-Family,534300
2360,3,3.0,1000,1981,43,Premium,0.5,2,0,1,6.0,1.15,0,Good,Condo,612600
2361,3,2.0,12794,1959,65,Medium,7.09,2,0,1,8.0,2.25,1,Good,Single Family,338500
4697,5,4.0,4199,2013,11,Medium,5.57,2,0,1,8.0,8.79,0,Fair,Multi-Family,545300
2400,3,2.0,12394,2018,6,Medium,16.53,3,0,1,10.0,1.49,1,Good,Condo,353100
2795,3,2.0,11311,2017,7,Medium,0.7,2,0,0,7.0,0.2,0,Good,Condo,382900
2668,3,2.5,4848,1977,47,Low,9.15,2,0,1,4.0,1.47,1,Good,Multi-Family,256600
2456,5,4.0,4035,2002,22,High,9.12,0,0,1,4.0,0.47,0,Good,Single Family,439000
1779,3,2.0,9226,2000,24,Medium,8.85,2,0,0,6.0,0.78,0,Fair,Single Family,281700
2531,2,1.5,5045,2002,22,Premium,22.82,1,0,1,9.0,2.89,0,Good,Single Family,510900
1459,4,4.0,8359,1953,71,Low,13.86,1,0,1,7.0,0.21,0,Fair,Condo,156200
1834,5,4.5,6310,1966,58,High,0.5,2,1,0,5.0,1.87,0,Excellent,Townhouse,464900
1660,2,2.0,1766,2016,8,High,5.1,1,0,1,5.0,2.82,0,Fair,Multi-Family,269700
2057,3,2.0,1000,2023,1,Low,4.06,0,0,1,8.0,1.64,0,Fair,Single Family,215600
3620,2,1.0,8793,1996,28,Medium,2.97,0,1,0,6.0,0.06,0,Excellent,Townhouse,628500
693,3,3.0,6035,2005,19,Low,4.8,0,1,0,1.0,12.7,0,Good,Multi-Family,76400
2480,3,3.0,6064,1972,52,Medium,3.88,0,0,1,1.0,1.37,0,Fair,Condo,252800
871,4,4.0,10436,1967,57,Medium,4.53,0,0,1,9.0,4.52,0,Good,Single Family,165100
1670,4,2.5,12107,1950,74,High,31.01,1,0,1,8.0,1.18,0,Fair,Condo,229800
2762,4,3.0,7046,1984,40,Medium,0.74,1,0,1,6.0,1.93,0,Fair,Multi-Family,341900
2045,3,1.5,6808,2013,11,Premium,20.43,3,0,1,1.0,1.48,1,Fair,Multi-Family,414500
1246,5,3.5,9751,2007,17,Low,5.24,1,0,1,2.0,1.26,0,Good,Condo,176200
1499,3,3.0,3251,2008,16,Premium,7.82,0,0,0,10.0,0.07,1,Excellent,Townhouse,489700
2476,6,4.0,8781,1950,74,Medium,14.18,2,0,0,3.0,1.34,0,Good,Single Family,355300
1489,4,3.5,9932,1952,72,High,3.58,2,0,1,10.0,6.61,1,Good,Single Family,376100
2152,2,1.5,10381,2016,8,Medium,4.5,2,1,1,3.0,3.52,0,Fair,Multi-Family,251600
2032,4,3.0,1221,1986,38,Low,4.21,1,0,1,2.0,0.47,0,Good,Single Family,234500
1544,3,1.5,5335,1978,46,Premium,3.76,2,0,1,2.0,2.68,1,Excellent,Single Family,467300
3501,4,3.0,4926,1982,42,Medium,20.78,2,0,1,6.0,6.68,1,Fair,Single Family,345700
2444,2,1.0,8350,2010,14,High,14.13,2,0,1,7.0,3.61,0,Excellent,Condo,464900
582,2,1.5,9683,1953,71,High,0.92,2,0,1,4.0,0.48,0,Good,Condo,139800
2131,5,3.0,13238,1963,61,Medium,0.92,2,1,1,1.0,6.07,0,Excellent,Single Family,393400
1537,3,3.0,6268,1982,42,Medium,4.47,2,1,1,6.0,1.08,0,Good,Multi-Family,262300
2597,5,4.0,6258,1971,53,High,0.83,2,0,1,7.0,1.82,1,Good,Multi-Family,573700
1445,3,2.5,12024,1997,27,Low,7.72,1,0,0,,2.24,0,Excellent,Single Family,193500
1920,4,4.0,9038,1952,72,High,1.24,2,0,1,6.0,5.7,0,Excellent,Single Family,438600
2353,4,2.5,12437,1972,52,Premium,5.91,2,0,1,9.0,8.05,0,Fair,Condo,510200
2606,4,4.0,9011,2017,7,Low,0.5,0,0,0,4.0,7.96,0,Excellent,Condo,362500
1160,3,3.0,3950,1970,54,Low,3.05,3,0,1,10.0,0.02,0,Fair,Single Family,137900
1766,3,2.0,3334,1992,32,High,9.05,1,0,1,4.0,7.65,1,Fair,Single Family,286700
1668,1,1.5,2570,1975,49,Medium,5.29,1,0,0,10.0,0.17,0,Good,Single Family,233700
1543,3,1.5,10317,1990,34,Medium,30.63,2,0,1,5.0,0.93,1,Good,Single Family,206900
3236,4,2.5,12160,1987,37,Low,16.58,1,1,0,3.0,2.17,0,Excellent,Single Family,394000
2283,5,3.5,14473,1960,64,Medium,3.56,1,0,0,10.0,1.96,0,Good,Condo,346900
1117,5,3.5,10951,1978,46,Low,0.5,0,0,1,2.0,2.78,0,Poor,Condo,89000
2643,4,2.5,12070,2009,15,Medium,14.95,1,0,1,9.0,1.96,0,Good,Townhouse,350100
3486,4,3.5,5970,2016,8,High,19.37,1,0,1,,8.17,1,Fair,Single Family,475200
2723,4,3.0,3953,2014,10,Medium,13.75,1,0,1,5.0,0.83,0,Good,Townhouse,358100
936,3,2.5,10975,2010,14,Medium,1.1,1,0,1,5.0,0.96,0,Good,Single Family,205200
1661,5,3.5,9462,1968,56,Premium,49.38,3,0,0,8.0,7.6,0,Fair,Single Family,285600
2887,4,2.0,8376,1995,29,High,2.39,3,0,0,6.0,0.24,0,Good,Townhouse,545900
1505,4,3.0,9356,1998,26,High,10.3,0,0,1,6.0,2.82,1,Good,Condo,326600
2311,2,1.0,9131,1971,53,Medium,19.09,2,0,0,6.0,3.43,0,Good,Single Family,301200
2542,3,2.0,12493,2006,18,High,2.15,0,1,1,4.0,2.11,1,Good,Condo,490800
1351,3,1.5,12532,1963,61,Low,19.11,0,1,1,1.0,3.55,0,Fair,Multi-Family,101800
1958,5,5.0,9905,1993,31,Low,2.96,0,0,1,3.0,0.57,0,Fair,Condo,210800
500,4,3.5,10960,1965,59,Medium,29.98,3,0,0,10.0,5.74,0,Fair,Townhouse,139500
1283,3,2.5,9799,1961,63,Medium,2.64,3,0,1,6.0,0.45,1,Fair,Multi-Family,186800
1823,6,5.5,6386,2004,20,High,24.54,1,0,1,5.0,1.54,1,Good,Condo,356100
